# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000188493.15_3	ENSG00000188493.15	C19orf54	chr19	-	ENSG00000188493.15:s:40743905-40743981	ENSG00000188493.15_3_A5_1	False	False	40743905-40743981	E2	40742399-40742770	Proximal	40742770-40743905	10	False	False	False	0.863	0.729	-0.107	0.808	0.021
ENSG00000188493.15_3	ENSG00000188493.15	C19orf54	chr19	-	ENSG00000188493.15:s:40743905-40743981	ENSG00000188493.15_3_A5_1	False	False	40743905-40743981	E2	40742399-40742770	Distal	40742770-40743915	10	False	False	False	0.081	0.259	0.139	0.876	0.011
ENSG00000188493.15_4	ENSG00000188493.15	C19orf54	chr19	-	ENSG00000188493.15:t:40742073-40742189	ENSG00000188493.15_4_A5_1	True	True	40742073-40742189	E1	40742515-40742770	Proximal	40742189-40742515	62	False	False	False	0.046	0.081	0.024	0.599	0.179
ENSG00000188493.15_4	ENSG00000188493.15	C19orf54	chr19	-	ENSG00000188493.15:t:40742073-40742189	ENSG00000188493.15_4_A5_1	True	False	40742073-40742189	E1	40742515-40742770	Distal	40742189-40742577	62	False	False	False	0.01	0.052	0.021	0.518	0.267
ENSG00000077312.9_1	ENSG00000077312.9	SNRPA	chr19	+	ENSG00000077312.9:s:40750867-40750977	ENSG00000077312.9_1_A5_1	True	False	40750867-40750977	E2	40751387-40751481	Proximal	40750977-40751387	40	False	False	False	0.268	0.251	-0.014	0.545	0.219
ENSG00000077312.9_1	ENSG00000077312.9	SNRPA	chr19	+	ENSG00000077312.9:s:40750867-40750977	ENSG00000077312.9_1_A5_1	True	False	40750867-40750977	E2	40751387-40751481	Distal	40750937-40751387	40	False	False	False	0.052	0.032	-0.013	0.457	0.349
ENSG00000156958.15_1	ENSG00000156958.15	GALK2	chr15	+	ENSG00000156958.15:t:49201162-49201250	ENSG00000156958.15_1_A5_1	True	False	49201162-49201250	E1	49170204-49170375	Proximal	49170375-49201162	17	False	False	False	0.761	0.622	-0.104	0.823	0.022
ENSG00000156958.15_1	ENSG00000156958.15	GALK2	chr15	+	ENSG00000156958.15:t:49201162-49201250	ENSG00000156958.15_1_A5_1	True	False	49201162-49201250	E1	49170204-49170375	Distal	49170358-49201162	17	False	False	False	0.147	0.141	-0.003	0.514	0.2
ENSG00000122406.14_2	ENSG00000122406.14	RPL5	chr1	+	ENSG00000122406.14:t:92840525-92840639	ENSG00000122406.14_2_A5_1	False	False	92840551-92840639	E1	92836610-92837633	Proximal	92837633-92840551	3	True	False	False	0.924	0.937	0.0	0.222	0.773
ENSG00000122406.14_2	ENSG00000122406.14	RPL5	chr1	+	ENSG00000122406.14:t:92840525-92840639	ENSG00000122406.14_2_A5_1	False	True	92840551-92840639	E1	92836610-92837633	Distal	92837630-92840551	3	True	False	False	0.07	0.058	-0.002	0.251	0.677
ENSG00000166262.16_1	ENSG00000166262.16	FAM227B	chr15	-	ENSG00000166262.16:t:49614792-49615243	ENSG00000166262.16_1_A5_1	False	False	49615121-49615243	E1	49620631-49620929	Proximal	49615243-49620631	69	False	False	False	0.366	0.308	-0.046	0.656	0.062
ENSG00000166262.16_1	ENSG00000166262.16	FAM227B	chr15	-	ENSG00000166262.16:t:49614792-49615243	ENSG00000166262.16_1_A5_1	False	False	49615121-49615243	E1	49620631-49620929	Distal	49615243-49620700	69	False	False	False	0.589	0.684	0.062	0.685	0.049
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_1	True	False	93183360-93183495	E1	93180612-93180882	Proximal	93180882-93183360	30	False	False	False	0.038	0.313	0.185	0.867	0.007
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_1	True	False	93183360-93183495	E1	93180612-93180882	Distal	93180852-93183360	30	False	False	False	0.447	0.626	0.129	0.76	0.015
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_2	True	False	93183360-93183495	E1	93180612-93182482	Proximal	93182482-93183360	1630	False	False	True	0.473	0.044	-0.404	0.987	0.0
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_2	True	False	93183360-93183495	E1	93180612-93182482	Distal	93180852-93183360	1630	False	False	False	0.447	0.626	0.129	0.76	0.015
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_3	True	False	93183360-93183495	E1	93180612-93182482	Proximal	93182482-93183360	1600	False	True	True	0.473	0.044	-0.404	0.987	0.0
ENSG00000122483.18_1	ENSG00000122483.18	CCDC18	chr1	+	ENSG00000122483.18:t:93183360-93183495	ENSG00000122483.18_1_A5_3	True	False	93183360-93183495	E1	93180612-93182482	Distal	93180882-93183360	1600	False	True	False	0.038	0.313	0.185	0.867	0.007
ENSG00000142082.15_1	ENSG00000142082.15	SIRT3	chr11	-	ENSG00000142082.15:t:233343-233683	ENSG00000142082.15_1_A5_1	True	False	233343-233534	E1	236048-236354	Proximal	233534-236048	146	False	False	False	0.507	0.569	0.037	0.645	0.073
ENSG00000142082.15_1	ENSG00000142082.15	SIRT3	chr11	-	ENSG00000142082.15:t:233343-233683	ENSG00000142082.15_1_A5_1	True	False	233343-233534	E1	236048-236354	Distal	233534-236194	146	False	False	False	0.414	0.335	-0.042	0.664	0.064
ENSG00000142082.15_4	ENSG00000142082.15	SIRT3	chr11	-	ENSG00000142082.15:s:218778-219041	ENSG00000142082.15_4_A5_1	False	False	218778-219041	E2	215030-216718	Proximal	216718-218778	54	False	False	False	0.059	0.052	-0.002	0.467	0.266
ENSG00000142082.15_4	ENSG00000142082.15	SIRT3	chr11	-	ENSG00000142082.15:s:218778-219041	ENSG00000142082.15_4_A5_1	False	False	218778-219041	E2	215030-216718	Distal	216718-218832	54	False	False	False	0.941	0.948	0.002	0.467	0.266
ENSG00000104064.18_2	ENSG00000104064.18	GABPB1	chr15	-	ENSG00000104064.18:s:50301113-50301368	ENSG00000104064.18_2_A5_1	False	False	50301221-50301368	E2	50300789-50300902	Proximal	50300902-50301221	36	False	False	False	0.223	0.315	0.062	0.725	0.055
ENSG00000104064.18_2	ENSG00000104064.18	GABPB1	chr15	-	ENSG00000104064.18:s:50301113-50301368	ENSG00000104064.18_2_A5_1	False	False	50301221-50301368	E2	50300789-50300902	Distal	50300902-50301257	36	False	False	False	0.777	0.685	-0.062	0.725	0.055
ENSG00000185187.13_2	ENSG00000185187.13	SIGIRR	chr11	-	ENSG00000185187.13:s:406142-406370	ENSG00000185187.13_2_A5_1	False	False	406142-406370	E2	405716-406059	Proximal	406059-406142	207	False	False	False	0.045	0.054	0.005	0.42	0.339
ENSG00000185187.13_2	ENSG00000185187.13	SIGIRR	chr11	-	ENSG00000185187.13:s:406142-406370	ENSG00000185187.13_2_A5_1	False	False	406142-406370	E2	405716-406059	Distal	406059-406349	207	False	False	False	0.955	0.946	-0.005	0.42	0.339
